Employee Name,Gender,Employee ID,Work Experience,Position,Job Title,Educational Background,Recruitment Channel,Past Background,Interviewers Evaluation,Age,City,Promotion Status,Employee NPS,Training Duration h,Salary Adjustment,Length of Service,Supervisors Span,Non-Compete Clause,Performance Label
高磊,男,468023,10,软件工程师,初级,学士,猎头,阿里系,75分位,20-25岁,上海市,无,8,306,0.53 ,0-6个月,2,无,TRUE
邓平,男,269265,0,财务主管,中级,博士,猎头,传统主机厂,其他,25-30岁,北京市,无,8,281,0.09 ,2-5年,8,无,TRUE
汪霞,男,167909,11,销售经理,初级,硕士,猎头,阿里系,50分位,20-25岁,其他城市,无,6,193,1.35 ,6个月-1年,5,有,TRUE
尹杰,女,139030,14,人力资源专员,中级,学士,内推,新势力主机厂,其他,40岁以上,北京市,无,4,83,(0.87),1-2年,8,有,FALSE
武艳,男,248421,12,运营经理,高级,硕士,招聘网站,供应链上下游企业,50分位,25-30岁,上海市,无,2,55,1.01 ,1-2年,4,有,TRUE
丁超,男,217375,5,市场专员,中级,硕士,内推,阿里系,50分位,30-35岁,北京市,无,7,260,0.85 ,0-6个月,7,无,TRUE
孙杰,女,316499,8,技术总监,中级,博士,猎头,腾讯系,50分位,35-40岁,其他城市,有,4,385,0.47 ,5年以上,0,无,TRUE
崔娜,男,392384,14,销售代表,中级,学士,猎头,阿里系,其他,40岁以上,北京市,无,5,300,0.05 ,0-6个月,5,无,TRUE
彭秀兰,男,274242,6,财务分析师,初级,学士,猎头,阿里系,75分位,40岁以上,北京市,有,8,281,0.67 ,2-5年,8,无,TRUE
金刚,女,57779,2,人力资源经理,初级,学士,内推,供应链上下游企业,75分位,40岁以上,北京市,有,7,344,1.88 ,2-5年,6,有,TRUE
贺强,女,227914,0,产品经理,中级,博士,内推,腾讯系,其他,35-40岁,常州市,有,4,225,1.79 ,2-5年,2,无,TRUE
于秀兰,男,232058,11,运营专员,中级,学士,招聘网站,新势力主机厂,50分位,25-30岁,常州市,无,8,14,0.98 ,6个月-1年,9,无,TRUE
范洋,女,734,13,数据分析师,初级,硕士,招聘网站,供应链上下游企业,其他,20-25岁,上海市,无,6,145,0.14 ,2-5年,6,无,TRUE
许洋,女,335426,6,销售主管,中级,博士,内推,新势力主机厂,其他,25-30岁,上海市,有,4,54,1.49 ,1-2年,9,无,TRUE
萧平,男,111632,10,市场经理,高级,博士,内推,新势力主机厂,50分位,40岁以上,上海市,无,4,284,0.90 ,0-6个月,4,无,TRUE
杨娟,女,121803,9,财务经理,高级,硕士,招聘网站,新势力主机厂,其他,30-35岁,常州市,有,10,50,0.68 ,6个月-1年,3,无,TRUE
